Title,Currency,amountAwarded,awardDate,Organisation,fundingOrg,fundingDept,grantProgramme
Grant to LB Hillingdon,GBP,820,2015-01-15,LB Hillingdon,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Innovativevisionorganisation,GBP,1200,2015-01-15,Innovativevisionorganisation,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Crest Waltham Forest,GBP,1420,2015-01-15,Crest Waltham Forest,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Age UK Lewisham and Southwark,GBP,1270,2015-01-15,Age UK Lewisham and Southwark,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Streatham Park Bowls Club,GBP,554.8,2015-01-17,Streatham Park Bowls Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to LB Enfield,GBP,940,2015-01-17,LB Enfield,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Harrow St Marys Youth FC,GBP,1450,2015-01-17,Harrow St Marys Youth FC,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Trust Thamesmead,GBP,1500,2015-01-19,Trust Thamesmead,Greater London Authority,Communities and Intelligence,FreeSport
Grant to South West London Athletics Network,GBP,1500,2015-01-19,South West London Athletics Network,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Merton School Sport Partnership,GBP,1300,2015-01-19,Merton School Sport Partnership,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Islington Netball Club,GBP,1500,2015-01-19,Islington Netball Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Henna Asian Women's Group,GBP,1363.2,2015-01-19,Henna Asian Women's Group,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Harris Academy Merton,GBP,1500,2015-01-19,Harris Academy Merton,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Streatham Youth and Community Trust,GBP,1390,2015-01-20,Streatham Youth and Community Trust,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Corner Nine Arts Project,GBP,1170,2015-01-21,Corner Nine Arts Project,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Bring The Change CIC,GBP,1180,2015-01-21,Bring The Change CIC,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Action on Disability (formerly HAFAD),GBP,1500,2015-01-21,Action on Disability (formerly HAFAD),Greater London Authority,Communities and Intelligence,FreeSport
Grant to Union Dance Trust Ltd,GBP,1295,2015-01-22,Union Dance Trust Ltd,Greater London Authority,Communities and Intelligence,FreeSport
Grant to The Block Workout Foundation,GBP,1300,2015-01-24,The Block Workout Foundation,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Tamil Association of Brent,GBP,1500,2015-01-24,Tamil Association of Brent,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Sports Fun 4 All Limited,GBP,1260,2015-01-24,Sports Fun 4 All Limited,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Somali Int Youth Development,GBP,1500,2015-01-24,Somali Int Youth Development,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Newlife Conquerors Netball Club,GBP,930,2015-01-24,Newlife Conquerors Netball Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Afghanistan and Central Asian Association,GBP,1480,2015-01-24,Afghanistan and Central Asian Association,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Saracens Sport Foundation,GBP,1100,2015-01-26,Saracens Sport Foundation,Greater London Authority,Communities and Intelligence,FreeSport
Grant to LBBD Sports Development Team,GBP,1500,2015-01-26,LBBD Sports Development Team,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Dao Lu C.I.C.,GBP,877.5,2015-01-27,Dao Lu C.I.C.,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Kent Exiles American Football Club,GBP,730,2015-02-01,Kent Exiles American Football Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Wandsworth Borough Council,GBP,1415,2015-02-02,Wandsworth Borough Council,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Raiders Netball Club,GBP,1040,2015-02-02,Raiders Netball Club,Greater London Authority,Communities and Intelligence,FreeSport
