Title,Currency,amountAwarded,awardDate,Organisation,fundingOrg,fundingDept,grantProgramme
Cardinal Hume Centre,GBP,141000,2020-01-01,Cardinal Hume Centre,Greater London Authority,Communities and Skills,Young Londoners Fund
Carers FIRST,GBP,124277,2020-01-01,Carers FIRST,Greater London Authority,Communities and Skills,Young Londoners Fund
Carers Support Merton,GBP,99287,2020-01-01,Carers Support Merton,Greater London Authority,Communities and Skills,Young Londoners Fund
Chickenshed,GBP,149910,2020-01-01,Chickenshed,Greater London Authority,Communities and Skills,Young Londoners Fund
Circle Collective,GBP,72846,2020-01-01,Circle Collective,Greater London Authority,Communities and Skills,Young Londoners Fund
"Croydon Youth Zone, Legacy",GBP,116127,2020-01-01,"Croydon Youth Zone, Legacy",Greater London Authority,Communities and Skills,Young Londoners Fund
Damilola Taylor Trust,GBP,150000,2020-01-01,Damilola Taylor Trust,Greater London Authority,Communities and Skills,Young Londoners Fund
Dwayne Simpson Foundation CIC Dwaynamics Project,GBP,149917,2020-01-01,Dwayne Simpson Foundation CIC Dwaynamics Project,Greater London Authority,Communities and Skills,Young Londoners Fund
East London Dance,GBP,150000,2020-01-01,East London Dance,Greater London Authority,Communities and Skills,Young Londoners Fund
ECPAT UK,GBP,149450,2020-01-01,ECPAT UK,Greater London Authority,Communities and Skills,Young Londoners Fund
Family Action,GBP,149463,2020-01-01,Family Action,Greater London Authority,Communities and Skills,Young Londoners Fund
Fight for Peace International,GBP,148725,2020-01-01,Fight for Peace International,Greater London Authority,Communities and Skills,Young Londoners Fund
Football Beyond Borders,GBP,114225,2020-01-01,Football Beyond Borders,Greater London Authority,Communities and Skills,Young Londoners Fund
Frenford Clubs,GBP,149830,2020-01-01,Frenford Clubs,Greater London Authority,Communities and Skills,Young Londoners Fund
Hammersmith & Fulham Adult Learning & Skills Service,GBP,150000,2020-01-01,Hammersmith & Fulham Adult Learning & Skills Service,Greater London Authority,Communities and Skills,Young Londoners Fund
HMDT Music,GBP,149677,2020-01-01,HMDT Music,Greater London Authority,Communities and Skills,Young Londoners Fund
Hounslow Youth Counselling Service,GBP,147900,2020-01-01,Hounslow Youth Counselling Service,Greater London Authority,Communities and Skills,Young Londoners Fund
IHEART,GBP,143545,2020-01-01,IHEART,Greater London Authority,Communities and Skills,Young Londoners Fund
Immediate Theatre,GBP,149897,2020-01-01,Immediate Theatre,Greater London Authority,Communities and Skills,Young Londoners Fund
Institute of Imagination,GBP,149946,2020-01-01,Institute of Imagination,Greater London Authority,Communities and Skills,Young Londoners Fund
LifeLine Community Projects,GBP,148637,2020-01-01,LifeLine Community Projects,Greater London Authority,Communities and Skills,Young Londoners Fund
Millwall Community Trust,GBP,149622,2020-01-01,Millwall Community Trust,Greater London Authority,Communities and Skills,Young Londoners Fund
Ministry of Stories,GBP,142497,2020-01-01,Ministry of Stories,Greater London Authority,Communities and Skills,Young Londoners Fund
MumsAid,GBP,149465,2020-01-01,MumsAid,Greater London Authority,Communities and Skills,Young Londoners Fund
Newark Youth London,GBP,144375,2020-01-01,Newark Youth London,Greater London Authority,Communities and Skills,Young Londoners Fund
Newham All Star Sports Academy (NASSA),GBP,134920,2020-01-01,Newham All Star Sports Academy (NASSA),Greater London Authority,Communities and Skills,Young Londoners Fund
Newham Music,GBP,144000,2020-01-01,Newham Music,Greater London Authority,Communities and Skills,Young Londoners Fund
Osmani Trust,GBP,150000,2020-01-01,Osmani Trust,Greater London Authority,Communities and Skills,Young Londoners Fund
Our Time,GBP,99210,2020-01-01,Our Time,Greater London Authority,Communities and Skills,Young Londoners Fund
Oxygen,GBP,150000,2020-01-01,Oxygen,Greater London Authority,Communities and Skills,Young Londoners Fund
"People Potential Possibilities, operating as P3, delivered by London division Rugby Portobello Trust",GBP,109734,2020-01-01,"People Potential Possibilities, operating as P3, delivered by London division Rugby Portobello Trust",Greater London Authority,Communities and Skills,Young Londoners Fund
PSEV Ltd,GBP,150000,2020-01-01,PSEV Ltd,Greater London Authority,Communities and Skills,Young Londoners Fund
Rathbone,GBP,149827,2020-01-01,Rathbone,Greater London Authority,Communities and Skills,Young Londoners Fund
Refuge,GBP,148792,2020-01-01,Refuge,Greater London Authority,Communities and Skills,Young Londoners Fund
Resources for Autism,GBP,130798,2020-01-01,Resources for Autism,Greater London Authority,Communities and Skills,Young Londoners Fund
Rich Mix Cultural Foundation,GBP,149577,2020-01-01,Rich Mix Cultural Foundation,Greater London Authority,Communities and Skills,Young Londoners Fund
RISE Mutual CIC,GBP,149403,2020-01-01,RISE Mutual CIC,Greater London Authority,Communities and Skills,Young Londoners Fund
Rosetta Arts,GBP,150000,2020-01-01,Rosetta Arts,Greater London Authority,Communities and Skills,Young Londoners Fund
Shadwell Basin Outdoor Activity Centre (Also Known as ELMV Shadwell Basin Project),GBP,98496,2020-01-01,Shadwell Basin Outdoor Activity Centre (Also Known as ELMV Shadwell Basin Project),Greater London Authority,Communities and Skills,Young Londoners Fund
Shaw Trust,GBP,135000,2020-01-01,Shaw Trust,Greater London Authority,Communities and Skills,Young Londoners Fund
Shoreditch Trust,GBP,149994,2020-01-01,Shoreditch Trust,Greater London Authority,Communities and Skills,Young Londoners Fund
SILS: Southwark Inclusive Learning Service,GBP,149166,2020-01-01,SILS: Southwark Inclusive Learning Service,Greater London Authority,Communities and Skills,Young Londoners Fund
Streetz Ahead,GBP,148725,2020-01-01,Streetz Ahead,Greater London Authority,Communities and Skills,Young Londoners Fund
Strength in Horses,GBP,150000,2020-01-01,Strength in Horses,Greater London Authority,Communities and Skills,Young Londoners Fund
The 4Front Project,GBP,150000,2020-01-01,The 4Front Project,Greater London Authority,Communities and Skills,Young Londoners Fund
The Albany,GBP,142770,2020-01-01,The Albany,Greater London Authority,Communities and Skills,Young Londoners Fund
The Avenues Youth Project,GBP,149845,2020-01-01,The Avenues Youth Project,Greater London Authority,Communities and Skills,Young Londoners Fund
The Big House Theatre Company,GBP,147114,2020-01-01,The Big House Theatre Company,Greater London Authority,Communities and Skills,Young Londoners Fund
The Film and Video Workshop,GBP,104017,2020-01-01,The Film and Video Workshop,Greater London Authority,Communities and Skills,Young Londoners Fund
The Forward Trust,GBP,150000,2020-01-01,The Forward Trust,Greater London Authority,Communities and Skills,Young Londoners Fund
The London Basketball Association,GBP,96000,2020-01-01,The London Basketball Association,Greater London Authority,Communities and Skills,Young Londoners Fund
Theatre Peckham,GBP,149583,2020-01-01,Theatre Peckham,Greater London Authority,Communities and Skills,Young Londoners Fund
Volunteer Centre Sutton,GBP,147989,2020-01-01,Volunteer Centre Sutton,Greater London Authority,Communities and Skills,Young Londoners Fund
Volunteer It Yourself CIC,GBP,144000,2020-01-01,Volunteer It Yourself CIC,Greater London Authority,Communities and Skills,Young Londoners Fund
West London Zone,GBP,149766,2020-01-01,West London Zone,Greater London Authority,Communities and Skills,Young Londoners Fund
YMCA West London,GBP,132563,2020-01-01,YMCA West London,Greater London Authority,Communities and Skills,Young Londoners Fund
You and Me Counselling,GBP,106050,2020-01-01,You and Me Counselling,Greater London Authority,Communities and Skills,Young Londoners Fund
Youth First,GBP,146950,2020-01-01,Youth First,Greater London Authority,Communities and Skills,Young Londoners Fund
Balik Arts,GBP,26000,2019-09-01,Balik Arts,Greater London Authority,Communities and Skills,Young Londoners Fund
Code 7 Ltd,GBP,89600,2019-09-01,Code 7 Ltd,Greater London Authority,Communities and Skills,Young Londoners Fund
Coram,GBP,89571,2019-09-01,Coram,Greater London Authority,Communities and Skills,Young Londoners Fund
Deafinitely Theatre,GBP,73505,2019-09-01,Deafinitely Theatre,Greater London Authority,Communities and Skills,Young Londoners Fund
Element,GBP,78000,2019-09-01,Element,Greater London Authority,Communities and Skills,Young Londoners Fund
Epic ELM CIC,GBP,75000,2019-09-01,Epic ELM CIC,Greater London Authority,Communities and Skills,Young Londoners Fund
Free2B Alliance,GBP,68518,2019-09-01,Free2B Alliance,Greater London Authority,Communities and Skills,Young Londoners Fund
Gloves Not Gunz,GBP,70395,2019-09-01,Gloves Not Gunz,Greater London Authority,Communities and Skills,Young Londoners Fund
Groundwork London,GBP,79540,2019-09-01,Groundwork London,Greater London Authority,Communities and Skills,Young Londoners Fund
GT Scholars CIC,GBP,72825,2019-09-01,GT Scholars CIC,Greater London Authority,Communities and Skills,Young Londoners Fund
Hackney Play Association,GBP,90000,2019-09-01,Hackney Play Association,Greater London Authority,Communities and Skills,Young Londoners Fund
Harrow Association of Somali Voluntary Organisations,GBP,87780,2019-09-01,Harrow Association of Somali Voluntary Organisations,Greater London Authority,Communities and Skills,Young Londoners Fund
Harrow Club W10,GBP,38830,2019-09-01,Harrow Club W10,Greater London Authority,Communities and Skills,Young Londoners Fund
Hillingdon Autistic Care and Support,GBP,81000,2019-09-01,Hillingdon Autistic Care and Support,Greater London Authority,Communities and Skills,Young Londoners Fund
Iconic Steps,GBP,89871,2019-09-01,Iconic Steps,Greater London Authority,Communities and Skills,Young Londoners Fund
Magpie Dance,GBP,37546,2019-09-01,Magpie Dance,Greater London Authority,Communities and Skills,Young Londoners Fund
Maiden Lane Community Centre Ltd,GBP,88151,2019-09-01,Maiden Lane Community Centre Ltd,Greater London Authority,Communities and Skills,Young Londoners Fund
MAN&BOY,GBP,75600,2019-09-01,MAN&BOY,Greater London Authority,Communities and Skills,Young Londoners Fund
National Youth Theatre of Great Britain,GBP,89673,2019-09-01,National Youth Theatre of Great Britain,Greater London Authority,Communities and Skills,Young Londoners Fund
Pegasus Opera Company,GBP,75000,2019-09-01,Pegasus Opera Company,Greater London Authority,Communities and Skills,Young Londoners Fund
Playing ON Community Interest Company,GBP,19000,2019-09-01,Playing ON Community Interest Company,Greater London Authority,Communities and Skills,Young Londoners Fund
Prospex,GBP,66142,2019-09-01,Prospex,Greater London Authority,Communities and Skills,Young Londoners Fund
Salmon Youth Centre in Bermondsey,GBP,58995,2019-09-01,Salmon Youth Centre in Bermondsey,Greater London Authority,Communities and Skills,Young Londoners Fund
Scarabeus Aerial Theatre,GBP,72910,2019-09-01,Scarabeus Aerial Theatre,Greater London Authority,Communities and Skills,Young Londoners Fund
Smart School Councils,GBP,20000,2019-09-01,Smart School Councils,Greater London Authority,Communities and Skills,Young Londoners Fund
South Hampstead and Kilburn Community Partnership,GBP,84734,2019-09-01,South Hampstead and Kilburn Community Partnership,Greater London Authority,Communities and Skills,Young Londoners Fund
Tender Education & Arts,GBP,32883,2019-09-01,Tender Education & Arts,Greater London Authority,Communities and Skills,Young Londoners Fund
The Advocacy Academy,GBP,90000,2019-09-01,The Advocacy Academy,Greater London Authority,Communities and Skills,Young Londoners Fund
The Reasons Why Foundation,GBP,63000,2019-09-01,The Reasons Why Foundation,Greater London Authority,Communities and Skills,Young Londoners Fund
The Screen Film Community,GBP,62340,2019-09-01,The Screen Film Community,Greater London Authority,Communities and Skills,Young Londoners Fund
The Violence Intervention Project,GBP,90000,2019-09-01,The Violence Intervention Project,Greater London Authority,Communities and Skills,Young Londoners Fund
TransformUK,GBP,85230,2019-09-01,TransformUK,Greater London Authority,Communities and Skills,Young Londoners Fund
Wac Arts,GBP,89940,2019-09-01,Wac Arts,Greater London Authority,Communities and Skills,Young Londoners Fund
Waltham Forest Dyslexia Association,GBP,25000,2019-09-01,Waltham Forest Dyslexia Association,Greater London Authority,Communities and Skills,Young Londoners Fund
Youth First,GBP,77390,2019-09-01,Youth First,Greater London Authority,Communities and Skills,Young Londoners Fund
Grant to 'London Youth',GBP,420000,2020-01-24,London Youth,Greater London Authority,Team London,HeadStart Action YLF -Round 2
Grant to 'Rinova Ltd',GBP,372000,2019-12-17,Rinova Ltd,Greater London Authority,Team London,ESF-GLA 2014-20 Head 2Work
Club Soda,GBP,7151,2019-12-02,Club Soda,Greater London Authority,Team London,Small Grants Programme 2019/20 : Social Prescribing
Hackney Herbal,GBP,10000,2019-12-02,Hackney Herbal,Greater London Authority,Team London,Small Grants Programme 2019/20 : Social Prescribing
Riive,GBP,10000,2019-12-02,Riive,Greater London Authority,Team London,Small Grants Programme 2019/20 : Social Prescribing
Havering Volunteer Centre,GBP,9874,2019-12-02,Havering Volunteer Centre,Greater London Authority,Team London,Small Grants Programme 2019/20 : Social Prescribing
A Mile in her Shoes,GBP,8500,2019-12-02,A Mile in Her Shoes,Greater London Authority,Team London,Small Grants Programme 2019/20 : Social Prescribing
Outside Edge Theatre Company,GBP,10000,2019-12-02,Outside Edge Theatre Company,Greater London Authority,Team London,Small Grants Programme 2019/20 : Social Prescribing
Sport 4 Health CIC,GBP,10000,2019-12-02,Sport 4 Health CIC,Greater London Authority,Team London,Small Grants Programme 2019/20 : Social Prescribing
The Parent House,GBP,9552,2019-12-02,The Parent House,Greater London Authority,Team London,Small Grants Programme 2019/20 : Social Prescribing
HostNation,GBP,9170,2019-12-02,HostNation,Greater London Authority,Team London,Small Grants Programme 2019/20 : Social Prescribing
Learn English at Home,GBP,10000,2019-12-02,Learn English at Home,Greater London Authority,Team London,Small Grants Programme 2019/20 : Social Prescribing
Forty Hall Vineyard,GBP,9820,2019-12-02,Forty Hall Vineyard,Greater London Authority,Team London,Small Grants Programme 2019/20 : Social Prescribing
Leaders In Community,GBP,10000,2019-12-02,Leaders In Community,Greater London Authority,Team London,Small Grants Programme 2019/20 : Social Prescribing
Shpresa Programme,GBP,10000,2019-12-02,Shpresa Programme,Greater London Authority,Team London,Small Grants Programme 2019/20 : Social Prescribing
Entelechy Arts,GBP,10000,2019-12-02,Entelechy Arts,Greater London Authority,Team London,Small Grants Programme 2019/20 : Social Prescribing
Advice 4 Renters,GBP,10000,2019-12-02,Advice 4 Renters,Greater London Authority,Team London,Small Grants Programme 2019/20 : Social Prescribing
Grant to 'Voyage',GBP,14270,2019-12-02,Voyage,Greater London Authority,Team London,NA
Grant to 'The Avenues Youth Project',GBP,10928,2020-03-01,The Avenues Youth Project,Greater London Authority,Team London,NA
Grant to 'Black Training and Enterprise Group',GBP,15000,2020-03-01,Black Training and Enterprise Group,Greater London Authority,Team London,NA
Grant to 'Writerz and Scribez CIC',GBP,15000,2020-03-01,Writerz and Scribez CIC,Greater London Authority,Team London,NA
Grant to 'Afghanistan and Central Asian Association',GBP,14925,2020-03-01,Afghanistan and Central Asian Association,Greater London Authority,Team London,NA
Grant to 'YES Outdoors',GBP,15000,2020-03-01,YES Outdoors,Greater London Authority,Team London,NA
Grant to 'MVP Workshops',GBP,12487,2020-03-01,MPV Workshops,Greater London Authority,Team London,NA
Grant to 'Magpie Dance',GBP,14885,2020-03-01,Magpie Dance,Greater London Authority,Team London,NA
Grant to 'Groundwork London',GBP,372000,2020-03-01,Groundwork London,Greater London Authority,Team London,ESF-GLA 2014-20 Head 2Work
Grant to 'Big Ideas',GBP,7000,2019-12-01,Big Ideas,Greater London Authority,Team London,Euro 2020 Schools Engagement Social Action Fund
Grant to 'WE Charity',GBP,864000,2018-01-01,WE Charity,Greater London Authority,Team London,Team London Young Ambassadors
Refugee All Stars #We Stand Together,GBP,139130,2018-10-31,Croydon Voluntary Action,Greater London Authority,Sport Team,London Together
Tottenham Silver Sports,GBP,131088,2018-11-01,Groundwork London,Greater London Authority,Sport Team,London Together
Shared Futures,GBP,123200,2018-11-02,Celtic FC Foundation,Greater London Authority,Sport Team,London Together
FBB: Every Ends,GBP,117500,2018-11-03,Football Beyond Borders,Greater London Authority,Sport Team,London Together
Muslim Girls Fence - Communities,GBP,111000,2018-11-04,Maslaha,Greater London Authority,Sport Team,London Together
London Futures,GBP,104920,2018-11-05,The Change Foundation,Greater London Authority,Sport Team,London Together
Sport for Inclusion,GBP,64253,2018-11-06,The Royal Society for Blind Children (RSBC),Greater London Authority,Sport Team,London Together
Women Together in Finsbury Park,GBP,64352,2018-11-07,Holloway Neighbourhood Group,Greater London Authority,Sport Team,London Together
East London United,GBP,61259,2018-11-08,Salaam Peace,Greater London Authority,Sport Team,London Together
All Together - Deaf Londoners Activation Programme,GBP,149650,2019-09-30,UK Deaf Sport,Greater London Authority,Sport Team,London Together
Sporting Memories London Together,GBP,136679,2019-09-30,Sporting Memories Network CIC,Greater London Authority,Sport Team,London Together
Core Sport and Core Arts: using activity and creativity to support social integration,GBP,136635,2019-09-30,Core Arts,Greater London Authority,Sport Team,London Together
Get Onside,GBP,67000,2019-09-30,Saracens Sport Foundation,Greater London Authority,Sport Team,London Together
Young Peace Leaders,GBP,116075,2019-09-30,Football for Peace,Greater London Authority,Sport Team,London Together
RainbowSports@Mind,GBP,105726,2019-09-30,Islington Mind,Greater London Authority,Sport Team,London Together
Sport for Change: supporting asylum seekers and refugees at the heart of our community,GBP,72290,2019-09-30,Islington Centre for Refugees and Migrants,Greater London Authority,Sport Team,London Together
Stepping Out,GBP,70000,2019-09-30,Migrants Resource Centre (Consonant),Greater London Authority,Sport Team,London Together
Team Up Take Part,GBP,40000,2019-09-30,Time and Talents,Greater London Authority,Sport Team,London Together
All Roads Lead to Valence Park,GBP,5000,2019-07-01,Street Space Community CIC,Greater London Authority,Sport Team,Stronger Communities
GET ACTIVE TOGETHER!,GBP,5000,2019-07-01,Express Tuition,Greater London Authority,Sport Team,Stronger Communities
Capoeira social inclusion Programme,GBP,3590,2019-07-01,ABACEI,Greater London Authority,Sport Team,Stronger Communities
Upperdeckers - Never too old,GBP,3360,2019-07-01,Islington Boat Club,Greater London Authority,Sport Team,Stronger Communities
The INUF Fitness Pursuit,GBP,3760,2019-07-01,INUF,Greater London Authority,Sport Team,Stronger Communities
Sports club and Christmas event for disabled people in Southwark,GBP,4925,2019-07-01,Disability Sports Coach,Greater London Authority,Sport Team,Stronger Communities
The Hornbeam Centre,GBP,4980,2019-07-01,The Hornbeam Centre,Greater London Authority,Sport Team,Stronger Communities
"""Legs, Bums and Tums""",GBP,2800,2019-07-01,West Hampstead Women's Centre,Greater London Authority,Sport Team,Stronger Communities
Carers Well-being Project,GBP,3960,2019-07-01,My first 1000 Days,Greater London Authority,Sport Team,Stronger Communities
Ubuntu: African Drumming & Dance,GBP,5000,2019-07-01,Learning Through Arts,Greater London Authority,Sport Team,Stronger Communities
Creating community through sports and activities,GBP,4850,2019-10-01,The Maypole Project,Greater London Authority,Sport Team,Stronger Communities
Sports and physical inclusion for social exclusion and building relationships,GBP,4994,2019-10-01,WALTHAM FOREST BLIND ASSOCIATION (WFBA),Greater London Authority,Sport Team,Stronger Communities
Proud to Dodge,GBP,4485,2019-10-01,Dodgeball Development Ltd. (British Dodgeball),Greater London Authority,Sport Team,Stronger Communities
American Flag Football at Larkhall Park,GBP,4146,2019-10-01,BIGKID Foundation,Greater London Authority,Sport Team,Stronger Communities
Walking Football for people with Learning Disabilities,GBP,2650,2019-10-01,Bexley Mencap,Greater London Authority,Sport Team,Stronger Communities
African Dance - Outreach and Deepening our Roots,GBP,4970,2019-10-01,Frititi Arts CIC,Greater London Authority,Sport Team,Stronger Communities
Keep Active Keep Well,GBP,5000,2019-10-01,St Johns Community Development Project,Greater London Authority,Sport Team,Stronger Communities
LET US PLAY TOGETHER,GBP,5000,2019-10-01,East African Education Foundation,Greater London Authority,Sport Team,Stronger Communities
Connecting Communities,GBP,4972,2019-10-01,Sporting Foundation,Greater London Authority,Sport Team,Stronger Communities
Yoga to reduce isolation and loneliness of  BAME women.,GBP,3350,2019-10-01,Dagenham Bangladeshi Women & Children's Association,Greater London Authority,Sport Team,Stronger Communities
Community Touch Rugby,GBP,3335,2019-10-01,London Skolars Junior Rugby League Club,Greater London Authority,Sport Team,Stronger Communities
Moving Together,GBP,4808,2019-10-01,IRIE! dance theatre,Greater London Authority,Sport Team,Stronger Communities
Fit2gether!,GBP,4928,2019-10-01,Misgav,Greater London Authority,Sport Team,Stronger Communities
Back to hockey @ Merton HC,GBP,1331,2019-08-01,Merton Hockey Club,Greater London Authority,Sport Team,Active Londoners
"Get Active, Get Fit!",GBP,4170,2019-08-01,Perfecting Potential,Greater London Authority,Sport Team,Active Londoners
Active Lewisham Girls Football Project,GBP,3768,2019-08-01,Dalmain atheltic girls football club,Greater London Authority,Sport Team,Active Londoners
Singing and Dancing together Club,GBP,4962,2019-08-01,Omnibus Theatre,Greater London Authority,Sport Team,Active Londoners
Keep it moving,GBP,1965,2019-08-01,I love to swim endlessly CIC,Greater London Authority,Sport Team,Active Londoners
Mother and Baby Group,GBP,1250,2019-08-01,Everyone Active,Greater London Authority,Sport Team,Active Londoners
Islington Mind's SportsWeek,GBP,5000,2019-08-01,Islington Mind,Greater London Authority,Sport Team,Active Londoners
Hackney Junior Goalball,GBP,1750,2019-08-01,London Goalball Club,Greater London Authority,Sport Team,Active Londoners
Being not seeing,GBP,5000,2019-08-01,croysutt warriors goalball club,Greater London Authority,Sport Team,Active Londoners
FIT WITH CHRONIC FIBROMYALGIA,GBP,3800,2019-08-01,Future Challenges - UK,Greater London Authority,Sport Team,Active Londoners
Getting active at CR7 square,GBP,5000,2019-08-01,Croydon Council - Regeneration Team,Greater London Authority,Sport Team,Active Londoners
BOCCIA SPORT FOR THE COMMUNITY,GBP,4200,2019-08-01,UK-IODDA,Greater London Authority,Sport Team,Active Londoners
"“Real Women, Get together Through Equestrian""",GBP,4196.4,2019-08-01,Women & Family Association,Greater London Authority,Sport Team,Active Londoners
Martial Arts & Tutoring for Underpriviledged Youth (MA&TUY),GBP,3119.2,2019-08-01,Martial Arts & Tutoring for Underpriviledged Youth (MA&TUY),Greater London Authority,Sport Team,Active Londoners
Active for Action,GBP,4500,2019-08-01,Banooda Aid Foundation,Greater London Authority,Sport Team,Active Londoners
Green Hearts,GBP,4968,2019-08-01,London Playing Fields Foundation,Greater London Authority,Sport Team,Active Londoners
Singing and Dancing together Club,GBP,4950,2019-08-01,FRENCH AFRICAN WELFARE ASSOCIATION (FAWA),Greater London Authority,Sport Team,Active Londoners
Body Balance Fitness Class,GBP,4320.4,2019-08-01,WIDE  (????),Greater London Authority,Sport Team,Active Londoners
Blind and Partially Sighted Climbing Project,GBP,4973.24,2019-08-01,Metro Sports and Social Club of the Vision Impaired,Greater London Authority,Sport Team,Active Londoners
Fit & Food Movement Dance Sessions,GBP,4940,2019-08-01,Union Dance Trust Ltd,Greater London Authority,Sport Team,Active Londoners
TI Active Café,GBP,5000,2019-08-01,Tropical Isles,Greater London Authority,Sport Team,Active Londoners
BE Healthy Fit Sutton,GBP,1972,2019-08-01,Sutton Runners,Greater London Authority,Sport Team,Active Londoners
Fit 'n Free,GBP,4857.6,2019-08-01,Misgav,Greater London Authority,Sport Team,Active Londoners
Inclusive dance development,GBP,4650,2019-08-01,Step Change Studios,Greater London Authority,Sport Team,Active Londoners
"Keep fit Bollyfun, working title",GBP,3435,2019-08-01,Apsara Arts,Greater London Authority,Sport Team,Active Londoners
Journey of Hope activity programme,GBP,5000,2019-08-01,Journey of Hope,Greater London Authority,Sport Team,Active Londoners
Mindful Peak Performance - Youth Community Project,GBP,4928.35,2019-08-01,Mindful Peak Performance,Greater London Authority,Sport Team,Active Londoners
Active4SEND,GBP,5000,2019-08-01,Community Education Foundation & Lyncx (CEF Lyncx),Greater London Authority,Sport Team,Active Londoners
Move More Mitcham (PILOT),GBP,4972,2019-08-01,London Borough of Merton,Greater London Authority,Sport Team,Active Londoners
Outdoor Southwark,GBP,5000,2019-08-01,Art in the Park,Greater London Authority,Sport Team,Active Londoners
Pedal and Play,GBP,4810,2019-08-01,Pedal Power Cycling Club,Greater London Authority,Sport Team,Active Londoners
Westbourne Sports Splash,GBP,4178,2019-08-01,African Women Group,Greater London Authority,Sport Team,Active Londoners
The Enablement and healthy living project,GBP,4648,2019-08-01,Leonard Cheshire,Greater London Authority,Sport Team,Active Londoners
Badminton for all,GBP,5000,2019-08-01,Osmani Trust,Greater London Authority,Sport Team,Active Londoners
Sports and Physical activities for inactive BAME women,GBP,5000,2019-08-01,Barking & Dagenham Unemployed People's Association,Greater London Authority,Sport Team,Active Londoners
Women Only Yoga and Zumba classes,GBP,5000,2019-08-01,Copenhagen Primary School,Greater London Authority,Sport Team,Active Londoners
Action for Autism,GBP,4895,2019-08-01,MovementWorks,Greater London Authority,Sport Team,Active Londoners
Get Dancing,GBP,2970,2019-08-01,Round Chapel Families Project - Clapton Park URC,Greater London Authority,Sport Team,Active Londoners
Enable Sports,GBP,4871,2019-08-01,Bexley Snap,Greater London Authority,Sport Team,Active Londoners
women & girls only trampoline,GBP,5000,2019-08-01,Greenwich Bouncers trampoline academy,Greater London Authority,Sport Team,Active Londoners
Parents & children table tennis dynamic action,GBP,3180,2019-08-01,Graham Spicer Institute,Greater London Authority,Sport Team,Active Londoners
"Yoga, chai & films",GBP,1270,2019-08-01,Cinema Connecting Community,Greater London Authority,Sport Team,Active Londoners
bounce to music,GBP,2825,2019-08-01,ingestre community centre,Greater London Authority,Sport Team,Active Londoners
Lets Kick It,GBP,4930,2019-08-01,The Caridon Foundation,Greater London Authority,Sport Team,Active Londoners
Table Tennis for BAME young people,GBP,5000,2019-08-01,Charity Support,Greater London Authority,Sport Team,Active Londoners
New archery programme,GBP,4080.56,2019-08-01,BARKING&DAGENHAM EMPOWERING FAMILY TOGETHER.(B&D-ECT),Greater London Authority,Sport Team,Active Londoners
Nepalese Gurkha Veterans Project - 'Spring into Summer' Programme,GBP,5000,2019-08-01,Age UK Bromley and Greenwich,Greater London Authority,Sport Team,Active Londoners
Paddlesports for All,GBP,4375,2019-08-01,Laburnum Boat Club,Greater London Authority,Sport Team,Active Londoners
Cardio Tennis Fitness Club,GBP,2343.56,2019-08-01,South East London Tennis CIC,Greater London Authority,Sport Team,Active Londoners
Cancer Rehab and Exercise pilot project,GBP,4430,2019-08-01,Ability Bow,Greater London Authority,Sport Team,Active Londoners
Us Girls,GBP,5000,2019-08-01,Haringey Sports Development Trust,Greater London Authority,Sport Team,Active Londoners
Putting wellbeing into care,GBP,4250,2019-08-01,The Golf Trust,Greater London Authority,Sport Team,Active Londoners
Becoming Fit Through Fun,GBP,4450,2019-08-01,Somali Welfare Trust,Greater London Authority,Sport Team,Active Londoners
Homework,GBP,5000,2019-08-01,Karismatic Minds,Greater London Authority,Sport Team,Active Londoners
Champion Girls,GBP,72000,2019-07-29,London Youth,Greater London Authority,Sport Team,Active Londoners (Medium)
Physical Activity Southall,GBP,57000,2019-08-01,Catalyst Housing Charitable Trust,Greater London Authority,Sport Team,Active Londoners (Medium)
Active Minds,GBP,58946.77,2019-07-29,Fulham FC Foundation,Greater London Authority,Sport Team,Active Londoners (Medium)
Intosport Lambeth,GBP,37790,2019-07-31,Disability Advice Service Lambeth,Greater London Authority,Sport Team,Active Londoners (Medium)
Time Out Together,GBP,32834,2019-07-29,London Sports Trust,Greater London Authority,Sport Team,Active Londoners (Medium)
JoyRiders Cycle Active,GBP,67682,2019-10-01,The Hornbeam Centre,Greater London Authority,Sport Team,Active Londoners (Medium)
Stroke Odysseys,GBP,55128,2019-08-15,Rosetta Life,Greater London Authority,Sport Team,Active Londoners (Medium)
Motor Activity Training Programme (MATP),GBP,55049,2019-07-29,Special Olympics Great Britian,Greater London Authority,Sport Team,Active Londoners (Medium)
Active Health 4 All,GBP,74954,2019-07-29,Bromley by Bow Centre,Greater London Authority,Sport Team,Active Londoners (Medium)
Goals 4 Girls,GBP,25000,2019-09-11,Goals 4 Girls,Greater London Authority,Sport Team,Active Londoners (Medium)
Longer Living Fitness,GBP,32403,2019-09-11,Islington Bangladesh Association,Greater London Authority,Sport Team,Active Londoners (Medium)
Essex Cricket in the Community,GBP,9250,2019-10-01,Essex Cricket in the community,Greater London Authority,Sport Team,Model City London
Thames Ward Community Project,GBP,30000,2019-10-01,Thames Ward Community Project,Greater London Authority,Sport Team,Model City London
Future Youth Zone,GBP,25000,2019-10-01,Future Youth Zone,Greater London Authority,Sport Team,Model City London
Lifeline Projects,GBP,29970,2019-10-01,Lifeline Projects,Greater London Authority,Sport Team,Model City London
